trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.22387331527141266, 'e': 0.9440810683124485}",20,0,-178.63142337891833,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
57,False,"{'a': 0.2194403266178237, 'e': 0.9420858062800114}",20,0,-216.69398675579714,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 5}",0
58,False,"{'a': 0.21509511702079187, 'e': 0.9400566292602934}",25,0,-198.04412485848212,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
59,False,"{'a': 0.2108359483385415, 'e': 0.937993610303448}",25,0,-225.8534448224657,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
60,False,"{'a': 0.20666111684680993, 'e': 0.9358968236779348}",20,0,-69.17596300996526,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.20256895255733542, 'e': 0.933766344867846}",25,0,-328.6490296371479,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 6}",0
62,False,"{'a': 0.19855781854983925, 'e': 0.9316022505701886}",35,11,-115.49078603692897,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 1}",1
63,False,"{'a': 0.1946261103172359, 'e': 0.9294046186921237}",25,12,-123.45776470466741,"{0: 5, 1: 0, 2: 5, 3: 2, 4: 1}",1
64,False,"{'a': 0.1907722551238088, 'e': 0.9271735283481612}",35,0,-256.4533877156055,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 5}",0
65,False,"{'a': 0.18699471137609522, 'e': 0.9249090598573131}",20,0,-85.57517694988812,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
66,False,"{'a': 0.18329196800622818, 'e': 0.9226112947402}",20,0,-125.64704208393454,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.17966254386748912, 'e': 0.9202803157161181}",25,0,-95.3386201158353,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
68,False,"{'a': 0.1761049871418295, 'e': 0.9179162067000607}",20,0,-187.465575120567,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
69,False,"{'a': 0.1726178747591245, 'e': 0.9155190527996969}",30,0,-163.71741670820776,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
70,False,"{'a': 0.1691998118279255, 'e': 0.9130889403123083}",25,0,-115.32321513668387,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
